"Subject","Condition","Day_of_training","Stimuli","Hits","Misses","Rejects","False_alarms","Response_time_s","PC","DP","Response_bias","Trial_number","Condition_stimuli","Subject_condition"
"SRCF009","Naive",6,"Tones",46,39,49,19,0.389966678619385,62.0915032679739,0.677300810620122,0.236458875968377,153,"Naive.Tones","SRCF009.Naive"
"SRCF009","Naive",7,"Tones",37,38,41,20,0.498705320190965,57.3529411764706,0.421640657779011,0.227312051911363,136,"Naive.Tones","SRCF009.Naive"
"SRCF009","Naive",8,"Tones",50,45,59,19,0.510674787604291,63.0057803468208,0.749805151051113,0.309579370255829,173,"Naive.Tones","SRCF009.Naive"
"SRCF009","Naive",9,"Tones",62,24,55,41,0.437004948125302,64.2857142857143,0.759956394204687,-0.198089535869351,182,"Naive.Tones","SRCF009.Naive"
"SRCF009","Naive",10,"Tones",34,19,37,17,0.458138363034117,66.3551401869159,0.828279538831798,0.0586493515763683,107,"Naive.Tones","SRCF009.Naive"
"SRCF009","Naive",11,"Tones",44,19,40,16,0.469413022200266,70.5882352941177,1.0658887494409,0.021978567982203,119,"Naive.Tones","SRCF009.Naive"
"SRCF009","Naive",12,"Tones",43,11,49,16,0.585250005883686,77.3109243697479,1.48406938231492,-0.0675449409613766,119,"Naive.Tones","SRCF009.Naive"
"SRCF012","Experienced",1,"Tones",31,24,35,43,0.6348657705,49.6240601503759,0.0300501274034202,-0.142285620908461,133,"Experienced.Tones","SRCF012.Experienced"
"SRCF012","Experienced",2,"Tones",31,23,28,24,0.632414276,55.6603773584906,0.278053138755459,-0.0442953271946099,106,"Experienced.Tones","SRCF012.Experienced"
"SRCF012","Experienced",3,"Tones",54,18,27,36,0.565605680144444,60,0.486581767634296,-0.420460704808888,135,"Experienced.Tones","SRCF012.Experienced"
"SRCF012","Experienced",4,"Tones",61,23,52,35,0.757730131333333,66.0818713450292,0.83789144511173,-0.174412896329467,171,"Experienced.Tones","SRCF012.Experienced"
"SRCF012","Experienced",5,"Tones",52,10,44,19,0.66849856643662,76.8,1.47838737283995,-0.228227879681727,125,"Experienced.Tones","SRCF012.Experienced"
"SRCF012","Experienced",6,"Tones",50,9,45,29,0.683615744886076,71.4285714285714,1.27197293730153,-0.365344828874929,133,"Experienced.Tones","SRCF012.Experienced"
"SRCF012","Naive",1,"Tones",71,73,65,39,0.357973963564092,54.8387096774194,0.298213494596122,0.1663946999599,248,"Naive.Tones","SRCF012.Naive"
"SRCF012","Naive",2,"Tones",107,72,94,71,0.473590877618683,58.4302325581395,0.420697684250468,-0.0358148045361255,344,"Naive.Tones","SRCF012.Naive"
"SRCF012","Naive",3,"Tones",56,44,58,31,0.467134314021845,60.3174603174603,0.534783699978298,0.117928616418419,189,"Naive.Tones","SRCF012.Naive"
"SRCF012","Naive",4,"Tones",84,43,77,47,0.721725003409932,64.1434262948207,0.718370389543052,-0.0537044066721284,251,"Naive.Tones","SRCF012.Naive"
"SRCF012","Naive",5,"Tones",92,44,91,37,0.567058463429296,69.3181818181818,1.0056169577236,0.0485392162587352,264,"Naive.Tones","SRCF012.Naive"
"SRCF012","Naive",6,"Tones",2,6,5,1,1.01533341407776,50,0.202182809893596,0.690547202796577,14,"Naive.Tones","SRCF012.Naive"
"SRCF012","Naive",7,"Tones",29,14,39,9,1.00367636429636,74.7252747252747,1.30486430079966,0.211263502967209,91,"Naive.Tones","SRCF012.Naive"
"SRCF012","Naive",8,"Tones",34,19,64,17,1.08611583242229,73.134328358209,1.1501195478413,0.219569356081118,134,"Naive.Tones","SRCF012.Naive"
